Lockdown_Off2,FALSE,,,,,,Date,Mean R,New cases / day,Current Infections,Total Infections
,,,,,,,16-Jan,0.00,0,0,0
Row Labels,Average of MeanR,Average of DailyCases,Average of CurrentInfections,Average of numberInfected,,,17-Jan,0.00,0,2.5,0
0,0,0,0,0,,,18-Jan,0.00,0,3.2,0
1,0,0,2.5,0,,,19-Jan,0.00,1.1,3.85,0
2,0,0,3.2,0,,,20-Jan,0.00,0.9,4.7,0
3,0,1.1,3.85,0,,,21-Jan,0.00,0,5.95,1.1
4,0,0.9,4.7,0,,,22-Jan,0.00,0,7.05,2
5,0,0,5.95,1.1,,,23-Jan,0.00,0,8.6,2
6,0,0,7.05,2,,,24-Jan,0.10,0.5,10.05,2
7,0,0,8.6,2,,,25-Jan,0.90,0.7,11.05,2
8,0.1,0.5,10.05,2,,,26-Jan,0.88,0.65,12.4,2.5
9,0.9,0.7,11.05,2,,,27-Jan,0.60,0.85,14.4,3.2
10,0.875,0.65,12.4,2.5,,,28-Jan,0.15,1.25,15.05,3.85
11,0.6,0.85,14.4,3.2,,,29-Jan,0.25,1.1,16.85,4.7
12,0.15,1.25,15.05,3.85,,,30-Jan,0.25,1.55,19.65,5.95
13,0.25,1.1,16.85,4.7,,,31-Jan,0.38,1.45,22.75,7.05
14,0.25,1.55,19.65,5.95,,,1-Feb,0.73,1,26.1,8.6
15,0.375,1.45,22.75,7.05,,,2-Feb,1.09,1.4,29.45,10.05
16,0.725,1,26.1,8.6,,,3-Feb,0.43,2.05,32.95,11.05
17,1.091666667,1.4,29.45,10.05,,,4-Feb,0.73,1.7,36.1,12.45
18,0.429166667,2.05,32.95,11.05,,,5-Feb,0.62,2.65,39.75,14.5
19,0.733333333,1.7,36.1,12.45,,,6-Feb,0.62,2.8,44,16.2
20,0.616666667,2.65,39.75,14.5,,,7-Feb,0.95,3.1,50.45,18.85
21,0.619583333,2.8,44,16.2,,,8-Feb,1.05,3.4,55.55,21.65
22,0.95,3.1,50.45,18.85,,,9-Feb,1.12,3.85,60.25,24.75
23,1.046666667,3.4,55.55,21.65,,,10-Feb,1.40,4.25,66.45,28.15
24,1.120833333,3.85,60.25,24.75,,,11-Feb,1.29,3.95,74.9,32
25,1.4,4.25,66.45,28.15,,,12-Feb,1.07,4.5,81.65,36.25
26,1.285833333,3.95,74.9,32,,,13-Feb,1.13,5.35,90.6,40.2
27,1.069761905,4.5,81.65,36.25,,,14-Feb,1.93,6.8,99.75,44.7
28,1.133333333,5.35,90.6,40.2,,,15-Feb,1.42,6.9,109,50.05
29,1.928492063,6.8,99.75,44.7,,,16-Feb,1.34,6.3,120.7,56.85
30,1.416309524,6.9,109,50.05,,,17-Feb,1.23,7.5,133.1,63.75
31,1.342857143,6.3,120.7,56.85,,,18-Feb,1.19,10.45,145.6,70.05
32,1.23140873,7.5,133.1,63.75,,,19-Feb,1.42,8.75,160.3,77.55
33,1.185833333,10.45,145.6,70.05,,,20-Feb,1.04,10,176.75,88
34,1.416136364,8.75,160.3,77.55,,,21-Feb,1.69,10.5,197.95,96.75
35,1.042698413,10,176.75,88,,,22-Feb,0.85,12.2,214.75,106.75
36,1.685337302,10.5,197.95,96.75,,,23-Feb,1.18,14.8,235.4,117.25
37,0.852361111,12.2,214.75,106.75,,,24-Feb,1.25,14.05,258.05,129.45
38,1.180555556,14.8,235.4,117.25,,,25-Feb,1.31,15,295.25,144.25
39,1.250757576,14.05,258.05,129.45,,,26-Feb,1.28,18.1,330.1,158.3
40,1.305297619,15,295.25,144.25,,,27-Feb,1.08,21.45,363.1,173.3
41,1.281071429,18.1,330.1,158.3,,,28-Feb,0.81,28,407.2,191.4
42,1.083333333,21.45,363.1,173.3,,,29-Feb,1.05,18.6,456.4,212.85
