"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Aus"
"04/13/2020 21:29:52:739 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","3","0","8725650.80551945","0","0","0","0","0","0","0","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","7","0","8386257.595764821","0","0","0","0","0","0","0","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","7","0","8316328.993415777","0","0","0","0","0","0","0","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","7","0","8817998.199663693","0","0","0","0","0","0","0","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4","0","8544268.820778621","0","0","0","0","0","0","0","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","6","0","8203056.0511286855","0","0","0","0","0","0","0","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","5","1","8302210.426426387","0","0","0","0","0","0","0","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-4","8.5","0","8386257.595764826","0","0","0","0","0","1","2","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","8725650.805519452","0","0","0","0","0","0","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","8316328.993415795","0","0","0","0","0","1","1","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-4","5","1","8544268.820778636","0","0","0","0","0","0","1","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-4","8","0","8817998.199663682","0","0","0","0","0","1","1","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","8203056.051128692","0","0","0","0","0","0","1","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","0","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","2","0","8320405.219728174","0","0","0","0","0","0","0","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-4","6","0","8302210.42642637","0","0","0","0","0","0","1","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.246","9.5","0","8386257.595764835","0","0","0","0","0","0","2","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.261","5","1","8725650.805519458","0","0","0","0","0","0","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.231","9","0","8316328.993415782","0","0","0","0","0","0","1","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.243","6","0","8544268.820778629","0","0","0","0","0","0","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.2476","7","0","8302210.426426383","0","0","0","0","0","0","1","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.2482","8","0","8203056.051128681","0","0","0","0","0","1","1","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","2","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.257","6.5","0","8817998.199663708","0","0","0","0","0","0","2","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.33546666666666664","10.5","0","8385139.129336775","0","1","0","0","0","0","2","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3466666666666667","6","0","8723051.101502288","0","0","0","0","0","0","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.3217333333333333","6","0","8316695.952244604","0","1","0","0","0","0","2","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.33053333333333335","7","0","8545184.242742656","0","0","0","0","0","0","1","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3337333333333334","8","0","8299214.618389541","0","0","0","0","0","1","1","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.33213333333333334","7.5","1","8813034.736634286","0","1","0","0","0","0","2","0","0"
"7","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","3","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3298666666666667","9","0","8201899.215568193","0","0","0","0","0","0","1","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.3746","8.666666666666666","0","8382251.207253391","0","1","0","0","0","0","3","0","0"
"1","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","1","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","8320405.219728174","0","0","0","0","0","0","1","0","0"
"6","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3866","7","0","8720266.483331328","0","0","0","0","0","0","1","0","0"
"8","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.3652","7","0","8315311.75328497","0","1","0","0","0","0","2","0","0"
"4","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3792","9","0","8297542.97051784","0","0","0","0","0","0","1","0","0"
"3","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","1","2499","0","0","0","0","0","0","0","0","0","0","0","0","0.3757","8","0","8544335.94381594","0","0","0","0","0","1","1","0","0"
"5","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","4","2","2498","0","0","0","0","0","0","0","0","0","0","0","0","0.3739","8.5","0","8811624.50218035","0","1","0","0","0","0","2","0","0"
"2","15","false","95","25000000","0","5000","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","65","85","35","0","0","true","false","false","155","10","5","3","2497","0","0","0","0","0","0","0","0","0","0","0","0","0.40271999999999997","9.666666666666666","0","8381756.785550821","0","1","0","0","0","0","3","0","0"
