"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper NZ"
"04/13/2020 21:20:48:637 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ R ] of simuls with [ color = red and timenow = Illness_period ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.48","6","8620576.245595831","0","0","0","0","0","0","0","0"
"6","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.76","6","8680240.785689967","0","0","0","0","0","0","0","0"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.56","6","8182277.816155549","0","0","0","0","0","0","0","0"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.48","6","8372538.752456044","0","0","0","0","0","0","0","0"
"3","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.68","4","8420382.582719415","0","0","0","0","0","0","0","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.8","2","8565425.236472799","0","0","0","0","0","0","0","0"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","4.36","4","8149538.356139044","0","0","0","0","0","0","0","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.24","5.48","8","8620576.245595844","0","0","0","0","0","0","25","0"
"6","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.26","5.76","8","8680240.78568996","0","0","0","0","0","2","25","0"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.24","5.56","8","8182277.816155547","0","0","0","0","1","1","25","0"
"3","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.24","5.68","11","8420382.582719417","0","0","0","0","2","0","25","0"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.26","5.423076923076923","10","8372538.752456049","0","0","0","0","2","0","26","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.24","5.8","8","8565425.236472806","0","0","0","0","1","2","25","0"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","1","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.26","5.3076923076923075","11","8149538.356139033","0","0","0","0","2","0","26","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3672","6.346153846153846","4","8620576.24559584","0","0","0","0","0","6","26","0"
"6","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","28","2472","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3856","6.5","4","8680240.785689972","0","0","0","0","0","4","28","0"
"1","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","0","25","2475","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","5.24","5","8394139.667240052","0","0","0","0","0","0","0","0"
"4","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3786","6.5","6","8182277.816155533","0","0","0","0","1","2","26","0"
"7","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3848","6.423076923076923","5","8372538.7524560345","0","0","0","0","2","5","26","0"
"5","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","3","29","2471","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.4150666666666667","6.9655172413793105","2","8609917.058082467","0","0","0","0","0","6","29","0"
"8","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","28","2472","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3638","6.571428571428571","7","8565425.236472795","0","0","0","0","1","6","28","0"
"2","15","false","95","500000","0","5000","50","13100","0","0","10","15","true","5","5","false","1","0.1","true","85","2500","4","50","1","37","85","50","0","0","true","false","false","127","10","2","26","2474","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","0.3798","6.3076923076923075","6","8149538.356139044","0","0","0","0","2","5","26","0"
