Lockdown_Off,FALSE,,,Date,Eliminated?,
,,,,16-Jan,0,0%
Row Labels,Sum of Eliminated?,,,17-Jan,0,0%
0,0,,,18-Jan,0,0%
1,0,,,19-Jan,0,0%
2,0,,,20-Jan,0,0%
3,0,,,21-Jan,0,0%
4,0,,,22-Jan,0,0%
5,0,,,23-Jan,0,0%
6,0,,,24-Jan,0,0%
7,0,,,25-Jan,0,0%
8,0,,,26-Jan,0,0%
9,0,,,27-Jan,0,0%
10,0,,,28-Jan,0,0%
11,0,,,29-Jan,0,0%
12,0,,,30-Jan,1,7%
13,0,,,31-Jan,1,7%
14,1,,,1-Feb,1,7%
15,1,,,2-Feb,1,7%
16,1,,,3-Feb,1,7%
17,1,,,4-Feb,1,7%
18,1,,,5-Feb,1,7%
19,1,,,6-Feb,1,7%
20,1,,,7-Feb,1,7%
21,1,,,8-Feb,1,7%
22,1,,,9-Feb,1,7%
23,1,,,10-Feb,1,7%
24,1,,,11-Feb,1,7%
25,1,,,12-Feb,1,7%
26,1,,,13-Feb,1,7%
27,1,,,14-Feb,1,7%
28,1,,,15-Feb,1,7%
29,1,,,16-Feb,1,7%
30,1,,,17-Feb,1,7%
31,1,,,18-Feb,1,7%
32,1,,,19-Feb,1,7%
33,1,,,20-Feb,1,7%
34,1,,,21-Feb,1,7%
35,1,,,22-Feb,1,7%
36,1,,,23-Feb,1,7%
37,1,,,24-Feb,1,7%
38,1,,,25-Feb,1,7%
39,1,,,26-Feb,1,7%
40,1,,,27-Feb,1,7%
41,1,,,28-Feb,1,7%
42,1,,,29-Feb,1,7%
43,1,,,1-Mar,1,7%
44,1,,,2-Mar,1,7%
45,1,,,3-Mar,1,7%
46,1,,,4-Mar,1,7%
47,1,,,5-Mar,1,7%
48,1,,,6-Mar,1,7%
49,1,,,7-Mar,1,7%
50,1,,,8-Mar,1,7%
51,1,,,9-Mar,1,7%
52,1,,,10-Mar,1,7%
53,1,,,11-Mar,1,7%
54,1,,,12-Mar,1,7%
55,1,,,13-Mar,1,7%
56,1,,,14-Mar,1,7%
57,1,,,15-Mar,1,7%
58,1,,,16-Mar,1,7%
59,1,,,17-Mar,1,7%
60,1,,,18-Mar,1,7%
61,1,,,19-Mar,1,7%
62,1,,,20-Mar,1,7%
63,1,,,21-Mar,1,7%
64,1,,,22-Mar,1,7%
65,1,,,23-Mar,1,7%
66,1,,,24-Mar,1,7%
67,1,,,25-Mar,1,7%
68,1,,,26-Mar,1,7%
69,1,,,27-Mar,1,7%
70,1,,,28-Mar,1,7%
71,1,,,29-Mar,1,7%
72,1,,,30-Mar,1,7%
73,1,,,31-Mar,1,7%
74,1,,,1-Apr,1,7%
75,1,,,2-Apr,1,7%
76,1,,,3-Apr,1,7%
77,1,,,4-Apr,1,7%
78,1,,,5-Apr,1,7%
79,1,,,6-Apr,1,7%
80,1,,,7-Apr,1,7%
81,1,,,8-Apr,1,7%
82,1,,,9-Apr,1,7%
83,1,,,10-Apr,1,7%
84,1,,,11-Apr,1,7%
