[run number],Total_Population,Current_Cases,RestrictedMovement,Proportion_Time_Avoid,Days_of_Cash_Reserves,Care_Attitude,Track_and_Trace_Efficiency,TimeLockDownOff,Treatment_Benefit,FearTrigger,se_Compliance,Freewheel,Triggerday,Diffusion_Adjustment,PPA,MaxV,SE_Illnesspd,Link_Switch,Saliency_of_Experience,Stimulus,Dynamic_Behaviour,Global_Transmissability,Initial,Lockdown_Off,Proportion_People_Avoid,Compliance_with_Isolation,Illness_period,WFH_Capacity,Cruise,Bed_Capacity,ReInfectionRate,Spatial_Distance,Age_Isolation,Severity_of_illness,ProductionRate,AsymptomaticPercentage,Population,Mean_Individual_Income,Available_Resources,Decay_limit,ICU_Beds_in_Australia,Scale,Self_Capacity,Media_Exposure,PTA,Superspreaders,Contact_Radius,Hospital_Beds_in_Australia,MinV,Incubation_Period,Case_Isolation,se_Incubation,PHWarnings,PolicyTriggerOn,ICU_Required,Quarantine,Speed,InitialAssociationStrength,[step],count simuls with [ color = red ],count simuls with [ color = 85 ],count simuls with [color = black ],count simuls with [ color = yellow ],count simuls with [ color = black and agerange = 5 ],count simuls with [ color = black and agerange = 15 ],count simuls with [ color = black and agerange = 25 ],count simuls with [ color = black and agerange = 35 ],count simuls with [ color = black and agerange = 45 ],count simuls with [ color = black and agerange = 55 ],count simuls with [ color = black and agerange = 65 ],count simuls with [ color = black and agerange = 75 ],count simuls with [ color = black and agerange = 85 ],count simuls with [ color = black and agerange = 95 ],mean [ contacts ] of simuls / ticks,mean [ timenow ] of simuls with [ color = red ],count simuls with [ color = red and timenow = Incubation_Period ],sum [ reserves ] of simuls with [ color != black ],scalePhase,numberInfected,deathcount,casefatalityrate,ICUBedsRequired,DailyCases,CurrentInfections,EliminationDate,MeanR,mean [ personalvirulence ] of simuls
7,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,4,0,8129253.044,0,0,0,0,0,0,0,0,0,47.001544
3,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,5,1,8379300.153,0,0,0,0,0,0,0,0,0,47.019712
4,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,5,1,8448757.951,0,0,0,0,0,0,0,0,0,47.007136
8,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,4,0,8389261.67,0,0,0,0,0,0,0,0,0,47.01666
6,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,4,0,8440934.002,0,0,0,0,0,0,0,0,0,47.017056
2,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,5,1,8693014.478,0,0,0,0,0,0,0,0,0,47.019032
5,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,0,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,<RuntimePrimitiveException>,4,0,8307645.321,0,0,0,0,0,0,0,0,0,47.006076
7,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8129253.044,0,0,0,0,0,0,1,0,0,47.001544
3,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8379300.153,0,0,0,0,0,0,1,0,0,47.019712
4,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-04,6,0,8448757.951,0,0,0,0,0,0,1,0,0,47.007136
8,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8389261.67,0,0,0,0,0,0,1,0,0,47.01666
6,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8440934.002,0,0,0,0,0,0,1,0,0,47.017056
2,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8693014.478,0,0,0,0,0,0,1,0,0,47.019032
5,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,1,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-04,5,1,8307645.321,0,0,0,0,0,0,1,0,0,47.006076
7,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.246,6,0,8129253.044,0,0,0,0,0,0,1,0,0,47.001544
3,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.25,7,0,8379300.153,0,0,0,0,0,0,1,0,0,47.019712
4,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.24,7,0,8448757.951,0,0,0,0,0,0,1,0,0,47.007136
6,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.24,6,0,8440934.002,0,0,0,0,0,0,1,0,0,47.017056
8,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.2444,6,0,8389261.67,0,0,0,0,0,0,1,0,0,47.01666
2,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.2388,7,0,8693014.478,0,0,0,0,0,0,1,0,0,47.019032
5,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,2,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.2438,6,0,8307645.321,0,0,0,0,0,0,1,0,0,47.006076
3,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,3,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.3308,8,0,8377547.089,0,0,0,0,0,1,1,0,0,47.019712
7,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,3,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.324933333,7,0,8128455.299,0,0,0,0,0,0,1,0,0,47.001544
4,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,3,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.3252,8,0,8446815.162,0,0,0,0,0,1,1,0,0,47.007136
6,25000000,1,0,85,30,0.5,0.25,162,4,50,1,FALSE,72,10,85,1,1,FALSE,1,TRUE,FALSE,47,1,FALSE,85,95,15,33,FALSE,4,0,FALSE,0,15,5,33,2500,55000,0,0.5,4200,TRUE,0.8,50,85,10,0,65000,0,5,FALSE,0.2,0.8,TRUE,5,FALSE,1,0,3,1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0.330266667,7,0,8442483.839,0,0,0,0,0,0,1,0,0,47.017056
