Lockdown_Off,FALSE,,,,,Date,Current Infections,New cases / day,Total Infections
,,,,,,16-Feb,0,0,0
Row Labels,Average of MeanR,Average of CurrentInfections,Average of DailyCases,Average of numberInfected,,17-Feb,25.33,0,0
0,0,0,0,0,,18-Feb,26.66,0.47,0
1,0,25.26,0,0,,19-Feb,29.7,12.06,0
2,0,26.88,0.48,0,,20-Feb,33.1,12.66,0.47
3,0,29.3,11.53,0,,21-Feb,36.99,0.89,12.53
4,0,32.35,13.14,0.48,,22-Feb,41.44,0.64,25.19
5,0,36.34,0.95,12.01,,23-Feb,46.15,1.26,26.08
6,0,41.26,0.81,25.15,,24-Feb,51.99,1.77,26.72
7,0.21,46.44,1.25,26.1,,25-Feb,58.56,1.65,27.98
8,1.001833333,51.35,1.24,26.91,,26-Feb,65.26,1.72,29.75
9,1.43775,57.76,1.26,28.16,,27-Feb,72.72,1.75,31.4
10,1.616077547,65.13,1.75,29.4,,28-Feb,70.1,2.19,33.12
11,1.85623557,72.63,1.78,30.66,,29-Feb,66.06,4.38,34.87
12,1.916071429,70.17,2.2,32.41,,1-Mar,73.95,4.71,37.06
13,1.162333333,65.45,4.87,34.19,,2-Mar,83.82,5.84,41.44
14,1.344333333,73.36,5.18,36.39,,3-Mar,94.62,6.59,46.15
15,1.700666667,82.63,4.91,41.26,,4-Mar,106.91,6.92,51.99
16,1.889,93.51,6.44,46.44,,5-Mar,121.1,8.2,58.58
17,2.025888889,105.58,7.5,51.35,,6-Mar,136,9.23,65.5
18,2.23175,118.94,8.15,57.79,,7-Mar,153.78,8.35,73.7
19,2.38493254,133.55,8.96,65.29,,8-Mar,173.19,8.78,82.93
20,2.472559524,150.94,8.22,73.44,,9-Mar,191.56,10.5,91.28
21,2.562161255,169.47,8.84,82.4,,10-Mar,213.01,12.1,100.06
22,2.438481602,188.06,10.1,90.62,,11-Mar,235.46,14.07,110.56
23,2.499133185,208.84,12.14,99.46,,12-Mar,259.9,15.79,122.66
24,2.521719114,231.19,13.32,109.56,,13-Mar,287.52,16.65,136.73
25,2.441379585,255.58,14.63,121.7,,14-Mar,315.98,19.63,152.52
26,2.473468698,280.23,16.38,135.02,,15-Mar,346.97,21.66,169.17
27,2.514602271,308.03,19.21,149.65,,16-Mar,378.98,22.77,188.8
28,2.421787526,338.4,20.81,166.03,,17-Mar,413.53,26.19,210.46
29,2.40921187,369.8,23.52,185.24,,18-Mar,449.24,28.26,233.23
30,2.346025517,404.23,25.92,206.05,,19-Mar,487.79,31.03,259.42
31,2.264497247,440.06,27.28,229.57,,20-Mar,528.43,34.64,287.68
32,2.324703147,477.9,31,255.49,,21-Mar,568.93,36.67,318.71
33,2.204738274,517.82,32.17,282.77,,22-Mar,612.58,40.17,353.35
34,2.207263057,559.39,35.83,313.77,,23-Mar,654.35,40.42,390.02
35,2.110883618,603.75,39.35,345.94,,24-Mar,697.81,43.36,430.19
36,2.125495558,647.2,39.69,381.77,,25-Mar,740.47,46.35,470.61
37,2.074732843,690.99,43.35,421.12,,26-Mar,783.15,50.76,513.97
38,2.059545082,732.19,45.93,460.81,,27-Mar,823.02,54.61,560.32
39,1.997178046,773.22,49.95,504.16,,28-Mar,835.51,56.35,611.08
40,1.927135601,814.96,53.35,550.09,,29-Mar,825.07,60.55,665.69
41,1.852632284,827.34,56.32,600.04,,30-Mar,812.34,61.62,722.04
42,1.771470979,821.49,60.73,653.39,,31-Mar,795.34,64.98,782.59
43,1.652646317,809.59,62.67,709.71,,1-Apr,778.38,65.3,844.21
44,1.556027129,793.53,64.77,770.44,,2-Apr,757.32,69.15,909.19
45,1.430178387,776.35,64.93,833.11,,3-Apr,731.8,68.18,974.49
46,1.334346235,754.59,67.09,897.88,,4-Apr,700.44,43.5,1043.64
47,1.224840359,730.04,68.98,962.81,,5-Apr,665.37,24.5,1111.82
48,1.121134651,699.97,43.46,1029.9,,6-Apr,627.91,23.99,1155.32
49,1.009031298,665.84,26.5,1098.88,,7-Apr,583.38,23.2,1179.82
50,0.908165566,627.15,24.1,1142.34,,8-Apr,537.53,23.67,1203.81
51,0.815074136,582.88,23.3,1168.84,,9-Apr,486.25,22.3,1227.01
