Lockdown_Off,TRUE,,,,,,,Row Labels, Average of MeanR , Average of CurrentInfections , Average of DailyCases , Average of numberInfected 
,,,,,,,,16-Feb, -   , -   , -   , -   
Row Labels,Average of MeanR,Average of CurrentInfections,Average of DailyCases,Average of numberInfected,,,,17-Feb, -   ,25, -   , -   
0,0,0,0,0,,,,18-Feb, -   ,27,0, -   
1,0,25.2,0,0,,,,19-Feb, -   ,30,12, -   
2,0,27,0.4,0,,,,20-Feb, -   ,33,13,0
3,0,29.73333333,11.73333333,0,,,,21-Feb, -   ,38,1,12
4,0,33.06666667,12.86666667,0.4,,,,22-Feb, -   ,42,1,25
5,0,38.26666667,1.066666667,12.13333333,,,,23-Feb,0.33,47,1,26
6,0,42.13333333,1,25,,,,24-Feb,1.03,54,1,27
7,0.333333333,47.46666667,1.4,26.06666667,,,,25-Feb,1.46,60,2,28
8,1.027777778,54,1.333333333,27.06666667,,,,26-Feb,1.56,68,2,30
9,1.462592593,60.26666667,1.8,28.46666667,,,,27-Feb,1.6,75,2,32
10,1.560161135,67.93333333,1.6,29.8,,,,28-Feb,1.6,73,3,33
11,1.601111111,75.06666667,2.4,31.6,,,,29-Feb,1.02,69,4,36
12,1.6,72.73333333,2.8,33.2,,,,1-Mar,1.52,76,5,38
13,1.022222222,69.06666667,3.733333333,35.6,,,,2-Mar,1.26,85,7,42
14,1.522222222,75.6,5.333333333,38.4,,,,3-Mar,2.08,96,6,47
15,1.263333333,85.26666667,6.533333333,42.13333333,,,,4-Mar,2.18,110,8,54
16,2.075555556,96.33333333,6.266666667,47.46666667,,,,5-Mar,2.32,123,8,60
17,2.177777778,110.4,7.933333333,54,,,,6-Mar,2.13,139,9,68
18,2.315555556,122.6,8,60.26666667,,,,7-Mar,2.61,156,9,76
19,2.12952381,138.6666667,9.133333333,68.2,,,,8-Mar,1.98,175,8,85
20,2.607301587,156,8.733333333,76.2,,,,9-Mar,2.43,194,11,94
21,1.977883598,175.2666667,7.6,85.33333333,,,,10-Mar,2.4,218,12,102
22,2.432688793,194.4666667,10.73333333,94.06666667,,,,11-Mar,2.36,236,15,112
23,2.397065527,218.0666667,12.46666667,101.6666667,,,,12-Mar,2.63,261,14,125
24,2.357166907,236.1333333,15.33333333,112.4,,,,13-Mar,2.56,286,18,140
25,2.632037592,261.1333333,14.06666667,124.8666667,,,,14-Mar,2.55,315,20,154
26,2.558521201,286.1333333,17.73333333,140.2,,,,15-Mar,2.2,341,22,172
27,2.550185185,315.1333333,19.86666667,154.2666667,,,,16-Mar,2.2,373,23,192
28,2.204819625,341.0666667,22.2,172,,,,17-Mar,2.53,410,29,214
29,2.20223138,373.2,22.8,191.8666667,,,,18-Mar,2.39,447,25,237
30,2.528637566,409.5333333,28.73333333,214.0666667,,,,19-Mar,2.28,481,31,266
31,2.387583555,447.2666667,24.8,236.8666667,,,,20-Mar,2.15,516,33,290
32,2.280211685,480.6,31.26666667,265.6,,,,21-Mar,2.11,556,37,322
33,2.153592424,516.4666667,32.93333333,290.4,,,,22-Mar,2.06,598,35,355
34,2.108263904,556.1333333,37.33333333,321.6666667,,,,23-Mar,2.14,639,41,392
35,2.061771981,597.8666667,34.93333333,354.6,,,,24-Mar,2.02,677,44,427
36,2.137068195,638.5333333,40.8,391.9333333,,,,25-Mar,2.11,719,48,468
37,2.022205857,677.3333333,44.13333333,426.8666667,,,,26-Mar,1.93,760,46,512
38,2.107619218,719.0666667,48.46666667,467.6666667,,,,27-Mar,1.98,802,51,560
39,1.932342162,760.2666667,45.66666667,511.8,,,,28-Mar,1.83,811,55,606
40,1.982564683,801.5333333,51.33333333,560.2666667,,,,29-Mar,1.69,805,59,657
41,1.833221985,811.4,54.6,605.9333333,,,,30-Mar,1.63,791,60,712
42,1.687808193,805,59.4,657.2666667,,,,31-Mar,1.61,779,61,771
43,1.633066151,791.2,59.8,711.8666667,,,,1-Apr,1.49,762,65,831
44,1.614474224,778.7333333,61.26666667,771.2666667,,,,2-Apr,1.26,741,70,892
45,1.493485925,761.9333333,64.66666667,831.0666667,,,,3-Apr,1.19,711,66,957
46,1.255987349,740.6666667,69.73333333,892.3333333,,,,4-Apr,1.05,685,42,"1,027"
47,1.186268243,711.0666667,66.2,957,,,,5-Apr,1.04,650,27,"1,093"
48,1.051603034,684.6,41.8,1026.733333,,,,6-Apr,0.86,613,23,"1,135"
49,1.037236067,650.4666667,26.73333333,1092.933333,,,,7-Apr,0.8,570,23,"1,161"
50,0.864765364,612.5333333,22.8,1134.733333,,,,8-Apr,0.73,526,25,"1,184"
51,0.801338429,570.3333333,22.53333333,1161.466667,,,,9-Apr,0.68,478,23,"1,207"
52,0.730408265,526,24.86666667,1184.266667,,,,10-Apr,0.63,422,19,"1,232"
53,0.678418775,477.6,23.33333333,1206.8,,,,11-Apr,0.55,365,19,"1,255"
54,0.633337131,422.4,19,1231.666667,,,,12-Apr,0.52,308,17,"1,274"
55,0.545939674,364.8666667,19,1255,,,,13-Apr,0.54,275,17,"1,293"
56,0.517769513,308.3333333,16.93333333,1274,,,,14-Apr,0.48,255,17,"1,310"
57,0.543239149,274.6666667,16.86666667,1293,,,,15-Apr,0.51,239,15,"1,327"
58,0.482691733,254.6,16.86666667,1309.933333,,,,16-Apr,0.5,222,13,"1,344"
59,0.506735285,238.7333333,14.73333333,1326.8,,,,17-Apr,0.4,203,10,"1,358"
60,0.499619536,222.3333333,13.33333333,1343.666667,,,,18-Apr,0.5,184,12,"1,372"
61,0.39689883,203.0666667,9.8,1358.4,,,,19-Apr,0.48,170,9,"1,382"
62,0.500717767,184.4,11.8,1371.733333,,,,20-Apr,0.38,155,8,"1,393"
63,0.47964801,170.4666667,9.266666667,1381.533333,,,,21-Apr,0.37,143,7,"1,403"
64,0.384225977,155.1333333,7.666666667,1393.333333,,,,22-Apr,0.5,130,7,"1,410"
65,0.366701715,142.6666667,6.6,1402.6,,,,23-Apr,0.48,117,6,"1,416"
66,0.495156624,130.0666667,7.133333333,1409.933333,,,,24-Apr,0.5,105,6,"1,424"
67,0.479800613,116.6,6.2,1416.466667,,,,25-Apr,0.37,94,4,"1,430"
68,0.502464964,105.1333333,5.533333333,1423.6,,,,26-Apr,0.32,87,5,"1,435"
69,0.371554002,94.06666667,4.4,1429.8,,,,27-Apr,0.46,78,4,"1,440"
70,0.321693122,86.86666667,5.066666667,1435.333333,,,,28-Apr,0.48,71,4,"1,445"
71,0.460866911,77.66666667,4,1439.733333,,,,29-Apr,0.55,65,3,"1,449"
72,0.4848557,71,4.266666667,1444.8,,,,30-Apr,0.4,61,4,"1,453"
73,0.548559219,65.2,3.4,1448.8,,,,1-May,0.47,56,3,"1,456"
74,0.403862434,60.53333333,3.933333333,1453.066667,,,,2-May,0.39,51,2,"1,460"
75,0.47037037,55.6,3.4,1456.466667,,,,3-May,0.36,47,3,"1,464"
76,0.392380952,50.66666667,2.066666667,1460.4,,,,4-May,0.28,43,3,"1,466"
77,0.358614719,46.6,2.6,1463.8,,,,5-May,0.35,39,2,"1,468"
78,0.283333333,43.2,2.733333333,1465.866667,,,,6-May,0.4,37,2,"1,471"
79,0.345502646,39.46666667,2.466666667,1468.466667,,,,7-May,0.41,33,2,"1,474"
80,0.395555556,36.53333333,1.933333333,1471.2,,,,8-May,0.4,31,2,"1,476"
81,0.405925926,33.06666667,1.8,1473.666667,,,,9-May,0.54,28,1,"1,477"
82,0.395238095,30.93333333,1.866666667,1475.6,,,,10-May,0.38,25,2,"1,479"
83,0.544444444,27.86666667,1.333333333,1477.4,,,,11-May,0.61,24,1,"1,481"
84,0.378888889,25.33333333,1.533333333,1479.266667,,,,12-May,0.42,22,1,"1,482"
85,0.611111111,24,1.066666667,1480.6,,,,13-May,0.37,20,1,"1,483"
86,0.416666667,22.33333333,1.266666667,1482.133333,,,,14-May,0.39,18,1,"1,484"
87,0.368888889,20.13333333,1,1483.2,,,,15-May,0.37,17,1,"1,485"
88,0.392222222,18.13333333,0.733333333,1484.466667,,,,16-May,0.32,16,1,"1,486"
89,0.366666667,16.6,1.2,1485.466667,,,,17-May,0.37,14,1,"1,487"
90,0.322222222,15.6,0.866666667,1486.2,,,,18-May,0.28,13,1,"1,488"
91,0.366666667,14.13333333,0.866666667,1487.4,,,,19-May,0.33,12,1,"1,489"
92,0.283333333,13.13333333,0.8,1488.266667,,,,20-May,0.37,11,0,"1,490"
93,0.333333333,11.66666667,0.933333333,1489.133333,,,,21-May,0.16,10,0,"1,491"
94,0.366666667,10.8,0.466666667,1489.933333,,,,22-May,0.24,9,0,"1,491"
95,0.155555556,9.933333333,0.466666667,1490.866667,,,,23-May,0.42,9,1,"1,492"
96,0.238888889,9.266666667,0.4,1491.333333,,,,24-May,0.03,8,0,"1,492"
97,0.416666667,8.8,0.8,1491.8,,,,25-May,0.27,7,0,"1,493"
98,0.033333333,7.866666667,0.4,1492.2,,,,26-May,0.2,6,0,"1,493"
99,0.266666667,7.133333333,0.333333333,1493,,,,27-May,0.43,6,0,"1,494"
100,0.2,6.333333333,0.066666667,1493.4,,,,28-May,0.27,5,0,"1,494"
101,0.433333333,5.733333333,0.2,1493.733333,,,,29-May,0.17,5,0,"1,494"
102,0.266666667,4.866666667,0.4,1493.8,,,,30-May,0.2,4,0,"1,494"
103,0.166666667,4.6,0.333333333,1494,,,,31-May,0.03,4,0,"1,495"
104,0.2,4.2,0.266666667,1494.4,,,,1-Jun,0.13,3,0,"1,495"
105,0.033333333,4.066666667,0.266666667,1494.733333,,,,2-Jun,0.13,3,0,"1,495"
106,0.133333333,3.266666667,0.133333333,1495,,,,3-Jun,0.2,3,0,"1,495"
107,0.133333333,3,0.066666667,1495.266667,,,,4-Jun,0.27,3,0,"1,495"
108,0.2,2.666666667,0.2,1495.4,,,,5-Jun,0.37,3,0,"1,496"
109,0.266666667,2.733333333,0.066666667,1495.466667,,,,6-Jun,0.13,2,0,"1,496"
110,0.366666667,2.6,0.266666667,1495.666667,,,,7-Jun,0.03,2,0,"1,496"
111,0.133333333,2.2,0.066666667,1495.733333,,,,8-Jun,0.07,2, -   ,"1,496"
112,0.033333333,2,0.2,1496,,,,9-Jun, -   ,2,0,"1,496"
113,0.066666667,1.8,0,1496.066667,,,,10-Jun, -   ,1, -   ,"1,496"
114,0,1.533333333,0.133333333,1496.266667,,,,11-Jun,0.07,1,0,"1,496"
115,0,1.466666667,0,1496.266667,,,,12-Jun,0.27,1,0,"1,496"
116,0.066666667,1.4,0.133333333,1496.4,,,,13-Jun, -   ,1, -   ,"1,497"
117,0.266666667,1.133333333,0.066666667,1496.4,,,,14-Jun, -   ,1,0,"1,497"
118,0,1.133333333,0,1496.533333,,,,15-Jun,0.13,1,0,"1,497"
119,0,0.866666667,0.133333333,1496.6,,,,16-Jun, -   ,1, -   ,"1,497"
120,0.133333333,0.8,0.066666667,1496.6,,,,17-Jun, -   ,1,0,"1,497"
121,0,0.733333333,0,1496.733333,,,,18-Jun, -   ,1, -   ,"1,497"
122,0,0.733333333,0.066666667,1496.8,,,,19-Jun,0.07,1, -   ,"1,497"
123,0,0.6,0,1496.8,,,,20-Jun, -   ,0,0,"1,497"
124,0.066666667,0.6,0,1496.866667,,,,21-Jun, -   ,0, -   ,"1,497"
125,0,0.466666667,0.066666667,1496.866667,,,,22-Jun, -   ,0, -   ,"1,497"
126,0,0.4,0,1496.866667,,,,23-Jun, -   ,0,0,"1,497"
127,0,0.4,0,1496.933333,,,,24-Jun, -   ,0, -   ,"1,497"
128,0,0.266666667,0.066666667,1496.933333,,,,25-Jun, -   ,0, -   ,"1,497"
129,0,0.2,0,1496.933333,,,,26-Jun, -   ,0, -   ,"1,497"
130,0,0.266666667,0,1497,,,,27-Jun, -   ,0, -   ,"1,497"
131,0,0.2,0,1497,,,,28-Jun, -   ,0, -   ,"1,497"
132,0,0.2,0,1497,,,,29-Jun, -   ,0, -   ,"1,497"
133,0,0.2,0,1497,,,,30-Jun, -   ,0, -   ,"1,497"
134,0,0.133333333,0,1497,,,,1-Jul, -   ,0, -   ,"1,497"
135,0,0.133333333,0,1497,,,,2-Jul, -   ,0,0,"1,497"
136,0,0.2,0,1497,,,,3-Jul, -   ,0, -   ,"1,497"
137,0,0.133333333,0.066666667,1497,,,,4-Jul, -   ,0, -   ,"1,497"
138,0,0.133333333,0,1497,,,,5-Jul, -   ,0, -   ,"1,497"
139,0,0.133333333,0,1497.066667,,,,6-Jul, -   ,0, -   ,"1,497"
140,0,0.2,0,1497.066667,,,,7-Jul, -   ,0, -   ,"1,497"
141,0,0.2,0,1497.066667,,,,8-Jul, -   ,0,0,"1,497"
142,0,0.2,0,1497.066667,,,,9-Jul, -   ,0, -   ,"1,497"
143,0,0.2,0.066666667,1497.066667,,,,10-Jul, -   ,0, -   ,"1,497"
144,0,0.2,0,1497.066667,,,,11-Jul, -   ,0, -   ,"1,497"
145,0,0.2,0,1497.133333,,,,12-Jul, -   ,0,0,"1,497"
146,0,0.133333333,0,1497.133333,,,,13-Jul, -   ,0, -   ,"1,497"
147,0,0.133333333,0.066666667,1497.133333,,,,14-Jul, -   ,0, -   ,"1,497"
148,0,0.133333333,0,1497.133333,,,,15-Jul, -   ,0, -   ,"1,497"
149,0,0.133333333,0,1497.2,,,,16-Jul, -   ,0, -   ,"1,497"
150,0,0.133333333,0,1497.2,,,,17-Jul, -   ,0, -   ,"1,497"
151,0,0.133333333,0,1497.2,,,,18-Jul, -   ,0, -   ,"1,497"
152,0,0.133333333,0,1497.2,,,,19-Jul,0.13,0, -   ,"1,497"
153,0,0.133333333,0,1497.2,,,,20-Jul, -   ,0, -   ,"1,497"
154,0.133333333,0.133333333,0,1497.2,,,,21-Jul, -   ,0, -   ,"1,497"
155,0,0.2,0,1497.2,,,,22-Jul, -   ,0, -   ,"1,497"
156,0,0.133333333,0,1497.2,,,,23-Jul, -   ,0, -   ,"1,497"
157,0,0.133333333,0,1497.2,,,,24-Jul, -   ,0,0,"1,497"
158,0,0.2,0,1497.2,,,,25-Jul, -   ,0, -   ,"1,497"
159,0,0.2,0.066666667,1497.2,,,,26-Jul, -   ,0, -   ,"1,497"
160,0,0.2,0,1497.2,,,,27-Jul, -   ,0,0,"1,497"
161,0,0.2,0,1497.266667,,,,28-Jul, -   ,0, -   ,"1,497"
162,0,0.2,0.066666667,1497.266667,,,,29-Jul, -   ,0, -   ,"1,497"
163,0,0.2,0,1497.266667,,,,30-Jul, -   ,0,0,"1,497"
164,0,0.266666667,0,1497.333333,,,,31-Jul,0.07,0, -   ,"1,497"
165,0,0.333333333,0.066666667,1497.333333,,,,1-Aug, -   ,0, -   ,"1,497"
166,0.066666667,0.4,0,1497.333333,,,,2-Aug, -   ,0, -   ,"1,497"
167,0,0.4,0,1497.4,,,,3-Aug, -   ,0, -   ,"1,497"
168,0,0.333333333,0,1497.4,,,,4-Aug, -   ,0, -   ,"1,497"
169,0,0.333333333,0,1497.4,,,,5-Aug, -   ,0,0,"1,497"
170,0,0.333333333,0,1497.4,,,,6-Aug, -   ,0,0,"1,497"
171,0,0.266666667,0.066666667,1497.4,,,,7-Aug, -   ,0,0,"1,497"
172,0,0.266666667,0.066666667,1497.4,,,,8-Aug, -   ,0, -   ,"1,498"
173,0,0.266666667,0.066666667,1497.466667,,,,9-Aug, -   ,0, -   ,"1,498"
174,0,0.2,0,1497.533333,,,,10-Aug,0.07,0, -   ,"1,498"
175,0,0.2,0,1497.6,,,,11-Aug, -   ,0, -   ,"1,498"
176,0.066666667,0.2,0,1497.6,,,,12-Aug,0.13,0, -   ,"1,498"
177,0,0.266666667,0,1497.6,,,,13-Aug,0.13,0, -   ,"1,498"
178,0.133333333,0.266666667,0,1497.6,,,,14-Aug, -   ,0, -   ,"1,498"
179,0.133333333,0.266666667,0,1497.6,,,,15-Aug, -   ,0, -   ,"1,498"
180,0,0.2,0,1497.6,,,,16-Aug, -   ,0, -   ,"1,498"
181,0,0.133333333,0,1497.6,,,,17-Aug, -   ,0, -   ,"1,498"
182,0,0.066666667,0,1497.6,,,,18-Aug, -   ,0,0,"1,498"
183,0,0.066666667,0,1497.6,,,,19-Aug, -   ,0, -   ,"1,498"
184,0,0.066666667,0.066666667,1497.6,,,,20-Aug, -   ,0, -   ,"1,498"
185,0,0.066666667,0,1497.6,,,,21-Aug, -   ,0, -   ,"1,498"
186,0,0.066666667,0,1497.666667,,,,22-Aug, -   ,0, -   ,"1,498"
187,0,0.066666667,0,1497.666667,,,,23-Aug,0.13,0, -   ,"1,498"
188,0,0.066666667,0,1497.666667,,,,24-Aug, -   ,0, -   ,"1,498"
