"BehaviorSpace results (NetLogo 6.1.0)"
"COVID SIMULS.html"
"Lancet Paper Wuhan"
"04/15/2020 22:16:39:301 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Illness_period","Spatial_Distance","Compliance_with_Isolation","Total_Population","Available_Resources","Current_Cases","Media_Exposure","Hospital_Beds_in_Australia","ReInfectionRate","RestrictedMovement","Superspreaders","Severity_of_illness","Quarantine","ProductionRate","Incubation_Period","Case_Isolation","Initial","Track_and_Trace_Efficiency","PolicyTriggerOn","Proportion_People_Avoid","Population","Treatment_Benefit","FearTrigger","Speed","Triggerday","Proportion_time_Avoid","InfectionRate","Age_Isolation","Contact_Radius","Scale","Lockdown_Off","Freewheel","TimelockdownOff","Diffusion_Adjustment","SE_Illnesspd","se_Incubation","se_compliance","[step]","count simuls with [ color = red ]","count simuls with [ color = 85 ]","count simuls with [color = black ]","count simuls with [ color = yellow ]","count simuls with [ color = black and agerange = 5 ]","count simuls with [ color = black and agerange = 15 ]","count simuls with [ color = black and agerange = 25 ]","count simuls with [ color = black and agerange = 35 ]","count simuls with [ color = black and agerange = 45 ]","count simuls with [ color = black and agerange = 55 ]","count simuls with [ color = black and agerange = 65 ]","count simuls with [ color = black and agerange = 75 ]","count simuls with [ color = black and agerange = 85 ]","count simuls with [ color = black and agerange = 95 ]","mean [ contacts ] of simuls / ticks","mean [ timenow ] of simuls with [ color = red ]","count simuls with [ color = red and timenow = Incubation_Period ]","sum [ reserves ] of simuls with [ color != black ]","scalePhase","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR"
"3","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.488372093023256","20","8513046.049803166","0","0","0","0","0","0","0","0","0"
"8","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.604651162790698","24","8578725.189406587","0","0","0","0","0","0","0","0","0"
"5","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.441860465116279","19","8850428.401509883","0","0","0","0","0","0","0","0","0"
"2","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.4186046511627906","18","8678245.952119539","0","0","0","0","0","0","0","0","0"
"7","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.441860465116279","17","8375719.617268655","0","0","0","0","0","0","0","0","0"
"6","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.534883720930233","23","8894988.782446675","0","0","0","0","0","0","0","0","0"
"4","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.511627906976744","22","8782309.892203065","0","0","0","0","0","0","0","0","0"
"1","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","0","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","4.441860465116279","18","8747238.173075527","0","0","0","0","0","0","0","0","0"
"3","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","1","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","0.7568","5.488372093023256","21","8513046.049803177","0","0","0","0","0","0","43","0","0"
"5","15","false","99","11000000","0","43","50","65000","0","0","10","15","true","5","5","false","1","0.1","true","95","2500","4","50","1","53","95","47","0","0","true","false","false","162","10","1","0.2","1","1","43","2457","0","0","0","0","0","0","0","0","0","0","0","0","0.7224","5.441860465116279","24","8850428.401509885","0","0","0","0","5","0","43","0","0"
