"BehaviorSpace results (NetLogo 6.1.1)"
"COVID SIMULS VIC JAN Vaccination Model.nlogo"
"Bumble Along"
"01/28/2021 13:41:38:142 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Age_Isolation","App_Uptake","AssignAppEss","Asymptomatic_Trans","AsymptomaticPercentage","Available_Resources","BaseStage","Bed_Capacity","care_attitude","case_isolation","Case_Reporting_Delay","Complacency","Compliance_with_Isolation","Contact_Radius","cruise","current_cases","days_of_cash_reserves","Diffusion_Adjustment","Ess_W_Risk_Reduction","Essential_Workers","eWAppUptake","FearTrigger","fourtothree","freewheel","Global_Transmissability","GoldStandard","Hospital_Beds_in_Australia","Household_Attack","ICU_Beds_in_Australia","ICU_Required","Illness_period","Incubation_Period","IncursionRate","Initial","initialassociationstrength","InitialScale","Isolate","JudgeDay1","JudgeDay1_d","JudgeDay2","Judgeday2_d","JudgeDay3","Judgeday3_d","JudgeDay4","Judgeday4_d","link_switch","lockdown_off","LowerStudentAge","Mask_Wearing","MaskPolicy","maxv","MaxStage","Mean_Individual_Income","Media_Exposure","minv","onetotwo","onetozero","OS_Import_Post_Proportion","OS_Import_Proportion","OS_Import_Switch","Outside","outsideRisk","phwarnings","policytriggeron","Population","ppa","ProductionRate","Proportion_People_Avoid","Proportion_Time_Avoid","pta","quarantine","ReInfectionRate","ResidualCautionPPA","ResidualCautionPTA","RestrictedMovement","saliency_of_experience","scale","SchoolPolicyActive","SchoolReturnDate","schoolsPolicy","se_illnesspd","se_incubation","SeedTicks","self_capacity","SelfGovern","Severity_of_illness","Span","spatial_distance","Stage","stimulus","Superspreaders","threetofour","threetotwo","TimeLockDownOff","total_population","Track_and_Trace_Efficiency","tracking","Treatment_Benefit","Triggerday","TTIncrease","twotoone","twotothree","Undetected_Proportion","UpperStudentAge","Vaccine_Avail","Vaccine_Rate","Vaccine_Type","Visit_Frequency","Visit_Radius","WFH_Capacity","zerotoone","[step]","count turtles","ticks","numberInfected","deathcount","casefatalityrate","ICUBedsRequired","DailyCases","CurrentInfections","EliminationDate","MeanR","Essential_Workers","scale","stage","averagecontacts","CasesinPeriod7","CasesinPeriod14","CasesinPeriod28","objFunction","meanIDTime"
"4","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","29.953144819839103","true","1","0","0","0","0","0","0"
"6","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","29.335795677557837","true","1","0","0","0","0","0","0"
"8","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","32.586175397757955","true","1","0","0","0","0","0","0"
"1","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","28.68515428001311","true","1","0","0","0","0","0","0"
"7","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","28.54296015671092","true","1","0","0","0","0","0","0"
"3","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","31.95989843816046","true","1","0","0","0","0","0","0"
"2","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","28.491533412213133","true","1","0","0","0","0","0","0"
"5","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","0","2501","0","0","0","0","0","0","0","0","0","34.020515033931154","true","1","0","0","0","0","0","0"
"6","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","1","2501","1","0","0","0","0","0","2","0","0","29.335795677557837","true","1","0","0","0","0","0","0"
"4","0","100","false","0.35844673433467694","33.70984742562481","0","1","4","0.5","true","6","true","95","-45","true","1","30","10","50","30","0","50","105","false","25","95","65000","50","7000","5","20.8","5.1","0","1","0","0","true","2","1","2","1","2","1","2","1","true","true","4","90","true","1","4","55000","50","0","35","0","0.61","0","false","0","33","0.8","true","2500","85","5","85","85","85","true","0","68","68","0","1","true","false","0","true","4","2.25","7","0.8","true","15","10","true","0","false","10","210","35","28","25000000","0.25","true","4","1","2","1","70","0","18","false","2.73","Moderna","3","4","30","1","1","2501","1","0","0","0","0","0","2","0","0","29.953144819839103","true","1","0","0","0","0","0","0"
